num,name,address,tel,fax,website,lon,lat,acronym,code_wil
99,Centre National de l'Insémination Artificielle et de l'Amélioration Génétique,"Haouche Erroussi, Baba Ali, BP N°10- Birtouta, 16045, Alger",023 40 00 12,023 40 00 12,www.cniaag.dz,3.024425,36.65580556,CNIAAG,16
100,Institut National de la Médecine Vétérinaire,Route Ouled Sidi Cheikh Mohammadia Alger.,021 53 67 60 /  85, 021 53 67 20,,3.15315,36.725015,INMV,16
101,Institut national de la protection des végétaux,"12, Avenue des Frères Ouadek Hacen Badi EL HARRACH - ALGER.",023 82 88 85,023 82 88 96,www.inpv.edu.dz,3.155418,36.722882,INPV,16
102,Institut National des Sols de L'Irrigation et du Drainage,BP 148 OUED SMAR EL HARRACH .ALGER,021 82 54 57,021 82 57 39,www.insid.dz,3.155297,36.718986,INSID,16
103,Institut National de la Vulgarisation Agricole,"BP 42- Said Hamdine   BIR-MOURAD-RAIS, ALGER.",021 54 34 17,,www.inva.dz,3.028686,36.733714,INVA,16
104,Institut Technique de L'Arboriculture Fruitière et de la Vigne,"Tessala El Merdja - Birtouta , Alger.",023 58 38 60 / 61 / 66,023 58 38 64 / 65,www.itafv.dz,2.949945,36.63317,ITAFV,16
105,Institut Technique des Cultures Maraichères et Industrielles,BP 50 Route de Morétti Staouéli . Alger.,021 39 36 90 / 91 ,021 39 36 92  ,www.itcmidz.org,2.86565,36.75578333,ITCMI,16
106,Institut Technique de Développement de  L’Agronomie Saharienne,BP 27 RP AIN BENNOUI BISKRA,033 62 42 91 / 94,0 33 62 42 78,www.itdas.dz,5.654527778,34.80673056,ITDAS,7
107,Institut Technique de L'Elevage,"BABA ALI, Alger.",023 57 01 78,(0) 23 57 01 81,www.itelv.dz,3.051497222,36.65361667,ITELV,16
108,Institut Technique  des Grandes Cultures,"01, Rue Hacene Badi Ex Avenue Pasteur. BP 16 El Harrach. Alger.", 023 82 85 53 / 54,0 23 82 85 53 / 54,www.itgc.dz,3.152086111,36.72100556,ITGC,16
109,Ecole Nationale des Forêts ,,033 85 71 43/033 85 74 54,,,6.191768,35.529791,ENAF ,5
110,Centre de Formation des Agents Techniques Spécialisés des Forêts Jijel,oued kissir bordj blida 18005 el aouana,034 58 43 17/(034) 58 43 19,,,5.673153,36.793331,CFATSF Jijel,18
111,Centre de Formation des Agents Techniques Spécialisés des Forêts Medea,centre ville beni slimane,025 71 58 19/(025) 71 5712,,,3.30408,36.22865,CFATSF Medea,26
112,Centre de Formation et de Vulgarisation Agricole Medea,hai takbou 26800 medea,025 58 89 26/025 58 91 61,,,2.771924,36.26258,CFVA Medea,26
113,Centre de Formation et de Vulgarisation Agricole-Touggourt,sidi mahdi bp 04 30001 nezla,029 69 31 74/(029) 69 32 79,,,0.236256,29.253941,CFVA Touggourt,30
114,Institut deTechnologie Moyen Agricole Spécialisé Tizi Ouzou,,026 20 70 51/026 20 70 52,,,4.017942,36.746463,ITMAS Tizi Ouzou,15
115,Institut deTechnologie Moyen Agricole Spécialisé Adrar,,049 90 49 50/049 90-49-51,,,0.236256,29.253941,ITMAS Adrar,1
116,Institut deTechnologie Moyen Agricole Spécialisé Guelma,,037 11-16-97/037) 11-13-87,,,7.440161,36.458509,ITMAS Guelma,24
117,Institut deTechnologie Moyen Agricole Spécialisé Djelfa,,027 92 18 42/027) 92 1843,,,3.255977,34.647519,ITMAS Djelfa,17
118,Institut deTechnologie Moyen Agricole Spécialisé Alger,,021 86 82 36/021 86 72 04,,,3.311358,36.77996,ITMAS Alger,16
119,Institut deTechnologie Moyen Agricole Spécialisé Ain Temouchent,,043 79 83 66/043) 79 83 68,,,-1.116214,35.283269,ITMAS Ain Temouchent,46
120,Institut deTechnologie Moyen Agricole Spécialisé Setif,,030 61 92 51/027 92 18 43,,,5.372216,36.163866,ITMAS Setif,19
121,Haut Commissariat au Développement de la Steppe Siège Central,"Rue de l'emir Abdelkader, Djelfa,17000",027 87 53 04,027.87.42.38/027.87.51.12,,3.256916667,34.66916944,HCDS Siège Central Djelfa,17
122,Haut Commissariat au Développement de la Steppe Centre régional Djelfa, , ,,,3.255165556,34.66790694,HCDS CR Djelfa,17
123,Haut Commissariat au Développement de la Steppe Centre régional M'sila, , , ,,4.536939167,35.7077725,HCDS CR M'sila,28
124,Haut Commissariat au Développement de la Steppe Centre régional Naama, , , ,,-0.3124419444,33.26851,HCDS CR Naama,45
125,Haut Commissariat au Développement de la Steppe Centre régional Saida, , , ,,0.1505083333,34.84028333,HCDS CR Saida,20
126,Haut Commissariat au Développement de la Steppe Centre régional Tébessa, , , ,,8.132172778,35.40958556,HCDS CR Tébessa,12
127,Haut Commissariat au Développement de la Steppe Centre régional El Bayadh, , , ,,1.013066667,33.67884444,HCDS CR El Bayadh,32
128,Stations d’expérimentation du HCDS Tebessa - Ain Zarga , , , ,,8.196111111,35.64694444,Station HCDS Tebessa - Ain Zarga,12
129,Stations d’expérimentation du HCDS Tebessa - Thlidjane, , , ,,7.748027778,35.07619444,Station HCDS Tebessa - Thlidjane,12
130,Stations d’expérimentation du HCDS Khenchela - El Mahmal, , , ,,7.254166667,35.28638889,Station HCDS Khenchela - El Mahmal,40
131,Stations d’expérimentation du HCDS Batna – Barika, , , ,,5.344111111,35.35991667,Station HCDS Batna – Barika,5
132,Stations d’expérimentation du HCDS Biskra - Ouled Djellal, , , ,,5.099025,34.45745278,Station HCDS Biskra - Ouled Djellal,7
133,Stations d’expérimentation du HCDS Djelfa - Taadmit, , , ,,3.037627778,34.26854444,Station HCDS Djelfa - Taadmit,17
134,Commissariat au Développement de l'Agriculture des Régions Sahariennes,Ave 1 er November 1954,029 71 30 39,029.71.30.39/029.71.29.24,,5.324002778,31.94647222,CDARS Siège Central Ouargla,30
135,Commissariat au Développement de l'Agriculture des Régions Sahariennes, , , ,,5.978102778,33.54041111,CDARS  Antenne Djamaa,39
136,Commissariat au Développement de l'Agriculture des Régions Sahariennes, , , ,,0.2760638889,27.87338611,CDARS Antenne Adrar,1
137,OFFICE ALGÉRIEN INTERPROFESSIONNEL DES CÉRÉALES,05 RUE FERHAT BOUSSAD /Alger centre,021 23 73 04/05/06/07,021 23 73 13,www.oaic.dz,3.051741,36.765843,OAIC,16
138,OFFICE NATIONAL INTERPROFESSIONNEL DU LAIT ET DES PRODUITS LAITIERS,"Zone industrielle, route nationale N° 01 Boufarik, Blida",025 28 37 87/ 025 28 37 88,021 28 36 32,www.onab.dz,2.915039,36.58804,ONIL,16
139,OFFICE NATIONAL INTERPROFFESIONNEL DES LÉGUMES ET DE LA VIANDE,"Domaine TOURI H’Mida, route de Chéraga, Ain Benian, Alger.",023 21 02 96/93 ,023 21 02 94,www.onilev.dz,2.923407,36.798957,ONILEV,16
140,OFFICE NATIONAL DES TERRES AGRICOLES,Déménagement vers Birtouta en mars 2018,021 73 21 62,021 74 73 97,www.onta.dz/,3.002914,36.64943,ONTA,16
141,OFFICE NATIONAL DE DÉVELOPPEMENT DES ELEVAGES ÉQUINS ET CAMELINS,Haras national chaouchaoua de Tiaret,,,,1.365658,35.399953,ONDEEC,14
142,Groupe de Valorisation des PRoduits Agricoles ,22 Rue des fousillés du 17 mai 1957 El Anasser,021-68-54-17/021-67-64-44,021-67-44-53,www.gvapro-dz.com,3.083797,36.744275,GVAPRO,16
143,Groupe Agro-Logistique,22 rue des fusillés du 17 mai 1957 - El Anasser ,021 67 88 09,021 67 40 14,www.agrolog.dz,3.083979,36.744429,AGROLOG,16
144,Groupe Génie Rural,"Route BenSari Chebli,W de Blida",025-48-68-47,025-48-68-52,,3.038572,36.5838813,GGR,9
145,Groupe Lait,"1, Place Slimane HAMMADOUCHI Hussein-Dey- ALGER",023 77 12 41 / 47 / 58,023 77 12 43/44,www.giplait.dz,3.098033,36.743205,GIPLAIT,16
146,GVAPRO,Route Bensari Commune de Chebli,025486844/46-025215829,025486842,,3.055611,36.578378,Filiale AGRAL/AM,9
147,GVAPRO,BP 13 Guelal Daiar  d'Ain Oulmane ,036589246-036589248,036589246-036589248,,5.331164,36.0363,Filiale SAGRODEV,19
148,GVAPRO,"8,Avenue Abderhmane Mira Bab El Oued",0 21 96 67 99,0 21 96 76 67,,3.055642,36.792653,Filiale SARBO,16
149,GVAPRO,Avenue des Martyres de la Révolution-Zone Industrielle ESSANIA ,0 41 51 37 83,0 41 51 37 83,,-0.624792,35.671308,Filiale SAO,31
150,GVAPRO,"112,Quai Sud ",021737275/79,0 21 73 72 97,,3.060539,36.777503,Filiale SOTRAVIT,16
151,GVAPRO,Rue de la gare BP64 ,033627019/18-033627021,0 33 62 70 20,,5.725425,34.859656,Filiale SUDACO,7
152,GGR,,,,,3.277,36.717323,ERGR ZACCAR,16
153,GGR,,,,,-0.60931,35.6966,ERGR DHAHRA,31
154,GGR,,,,,4.047333,36.716124,ERGR DJURDJURA ,15
155,GGR,,,,,3.224828,34.663076,ERGR ATLAS,17
156,GGR,,,,,2.866187,36.75586,EHEV,42
157,AGROLOG,,,,,3.094447,36.710291,ONAB,16
158,AGROLOG,,,,,3.277366,36.740779,FRIGOMEDIT,16
159,AGROLOG,,,,,3.004555,36.64721,ALVIAR,16
160,AGROLOG,,,,,3.060635,36.774689,ENACT,16
161,Chambre Nationale de l'Agriculture,Pins Maritimes Palais des Expositions16058,021 21 00 52/021 21 93 96,021 21 00 39,,3.156887,36.732714,C N A,16
162,Chambre d'Agriculture de Wilaya Chlef,hai bensouna face casnos02000,027 77 46 63,027 79 08 57,,1.318618,36.1611,CAW Chlef,2
163,Chambre d'Agriculture de Wilaya Laghouat,Cité 5 juillet maamourah jardin 03000 laghouat,029 13 43 01,029 13 43 00,,2.864975,33.802371,CAW Laghouat,3
164,Chambre d'Agriculture de Wilaya OEB,Rue medfoun oeb,032 56 07 26 ,032 56 06 51,,7.118158,35.871407,CAW OEB,4
165,Chambre d'Agriculture de Wilaya Batna,Cité adm la verdure 05000 batna,033 81 46 56 ,033 80 38 79,,6.169133,35.552637,CAW Batna,5
166,Chambre d'Agriculture de Wilaya Bejaia,50 logts cite rabea naceria 06000 bejaia,034 16 41 85,034 16 41 86,,5.069771,36.752493,CAW Bejaia,6
167,Chambre d'Agriculture de Wilaya Biskra,635 rue des freres djezzar centre ville 07000 biskra,033 53 74 70,033 53 74 69,,5.730454,34.855396,CAW Biskra,7
168,Chambre d'Agriculture de Wilaya Bechar,lotissement gharassa08000 bechar,049 21 57 15,049 21 57 15,,-2.225499,31.584725,CAW Bechar,8
169,Chambre d'Agriculture de Wilaya Blida,10 avenue ben boulaid 09000 blida,025 23 44 17,026 23 44 16,,2.834045,36.484276,CAW Blida,9
170,Chambre d'Agriculture de Wilaya Bouira,rue boukarou makhlouf 10000 bouira,026 73 01 71 / 026 73 01 72,026 73 01 01,,3.902333,36.381349,CAW Bouira,10
171,Chambre d'Agriculture de Wilaya TAMENGHASSET,Rue said mokrani centre ville TAMENGHASSET,029 31 40 01 ,029 31 40 01 ,,5.524206,22.793218,CAW TAMENGHASSET,11
172,Chambre d'Agriculture de Wilaya Tébessa,Cité chahla BT2 12000 tebessa,037 56 20 41,037 48 30 42/037 59 28 37,,8.100224,35.403947,CAW Tébessa,12
173,Chambre d'Agriculture de Wilaya Tlemcen,35 bd med 5 bel air 13000 tlemcen,043 42 20 31,043 59 28 37,,-1.272977,34.912808,CAW Tlemcen,13
174,Chambre d'Agriculture de Wilaya Tiaret,cite 1575 logts mohamed djahlane 14000 tiaret,046 22 18 29,046 42 68 30 / 046 42 64  30 ,,1.320805,35.356677,CAW Tiaret,14
175,Chambre d'Agriculture de Wilaya Tizi Ouzou,Cité 500logts geni sider krim belkacem résidence kahina,026 20 05 08,026 20 54 69,,4.061132,36.701018,CAW Tizi Ouzou,15
176,Chambre d'Agriculture de Wilaya Alger,pins maritimes mohammadia,/,021 21 04 83,,3.156887,36.732714,CAW Alger,16
177,Chambre d'Agriculture de Wilaya Djelfa,place med boudiaf centre ville 17000 djelfa,027 92 34 19,027 92 31 55,,3.250894,34.676158,CAW Djelfa,17
178,Chambre d'Agriculture de Wilaya Jijel,avenue 1er novembre centre ville 18000 jijel,034 47 12 35,034 49 75 76,,5.767788,36.824437,CAW Jijel,18
179,Chambre d'Agriculture de Wilaya Sétif,Cité les tours ain tebinet 19000setif,036 62 16 10  ,036 62 16 29,,5.432802,36.188168,CAW Sétif,19
180,Chambre d'Agriculture de Wilaya Saïda,Route de tiaret sersour saida,048 41 04 24,048 41 04 17,,0.149464,34.841109,CAW Saïda,20
181,Chambre d'Agriculture de Wilaya Skikda,03 rue medaghi didouche mourad 21000 skikda,038 75 23 10,038 75 18 39/038 57 39 16,,6.910776,36.88267,CAW Skikda,21
182,Chambre d'Agriculture de Wilaya SBA,Bd emir abdelkader centre ville SBA,048 68 85 67,048 68 85 68,,-0.635564,35.193364,CAW SBA,22
183,Chambre d'Agriculture de Wilaya Annaba,Place Belouizdad MES Vieille Ville,038 45 00 00,038 45 01 01,,7.761298,36.898051,CAW Annaba,23
184,Chambre d'Agriculture de Wilaya Guelma,Cité Bara Lakhdar Agabi,037 16 14 21,037 16 14 22,,7.441156,36.455599,CAW Guelma,24
185,Chambre d'Agriculture de Wilaya Constantine,PlaceE DES Martyrs S Centre Ville,031 87 24 67,031 87 21 83 / 031 87 42 59,,6.609235,36.364,CAW Constantine,25
186,Chambre d'Agriculture de Wilaya Médéa,Rue Medjechkir,025 73 46 15,025 73 46 13,,2.762001,36.280234,CAW Médéa,26
187,Chambre d'Agriculture de Wilaya Mostaganem,Route de Relizane.Vallée des Jardins.Bp 93,045 41 51 05,045 41 51 06,,0.110886,35.913353,CAW Mostaganem,27
188,Chambre d'Agriculture de Wilaya M’sila,Cité Administrative,035 33 83 90,035 55 15 75,,4.54215,35.713453,CAW M’sila,28
189,Chambre d'Agriculture de Wilaya Mascara,Rue  Merzoug Omar Place de La Palestine ,045 71 59 91 ,045 71 59 33,,0.136887,35.394171,CAW Mascara,29
190,Chambre d'Agriculture de Wilaya Ouargla,,,029 71 29 06,,5.324481,31.950995,CAW Ouargla,30
191,Chambre d'Agriculture de Wilaya Oran,Rue de la  Gare Messeghrine ,040 23 82 83,040 91 45 41,,-0.734557,35.610772,CAW Oran,31
192,Chambre d'Agriculture de Wilaya El Bayadh,B atoire Ancien  Siège,049 60 98 24,049 60 98 23,,1.003696,33.688358,CAW El Bayadh,32
193,Chambre d'Agriculture de Wilaya Illizi,62 Rue Mustapha Ben Boulaid BEN BOULAID Centre Ville,029 41 15 37,029 41 15 37,,8.474414,26.496902,CAW Illizi,33
194,Chambre d'Agriculture de Wilaya BBA,Rue Mebarkia  Smail,035 74 81 20,035 74 83 45,,4.762996,36.078071,CAW BBA,34
195,Chambre d'Agriculture de Wilaya Boumerdès,Bt 11 DEC Bt AGF Bloc ANDI 1ere Etage  BMR,024 91 47 58,024 79 98 26,,3.456217,36.754554,CAW Boumerdès,35
196,Chambre d'Agriculture de Wilaya El Tarf,Place 20 Aout 56,/,038 30 01 82,,8.316977,36.767242,CAW El Tarf,36
197,Chambre d'Agriculture de Wilaya Tissemsilt,Rue 1 ER Novembre  Tissemsilt ,046 47 69 18,046 57 45 58,,1.807483,35.605127,CAW Tissemsilt,38
198,Chambre d'Agriculture de Wilaya El Oued,Cité Taouba EL Asnam Près Palais de  Justice,032 11 56 20,032 11 56 36,,6.855609,33.362393,CAW El Oued,39
199,Chambre d'Agriculture de Wilaya Souk Ahras,Cité 100 Bureaux Centre  Ville,037 31 09 01 ,037 71 00 13 / 037 71 00 15,,7.953117,36.286804,CAW Souk Ahras,41
200,Chambre d'Agriculture de Wilaya Tipaza,"RN 11, Aïn Tagourait, Daïra Bou Ismaïl, Tipaza",024 40 92 92,024 47 93 58,,2.520825,36.587854,CAW Tipaza,42
201,Chambre d'Agriculture de Wilaya Mila,Route de  Zeghia Zone  d'Activité,031 47 32 20 / 031 47 32 21,031 47 32 22,,6.25994,36.45203,CAW Mila,43
202,Chambre d'Agriculture de Wilaya Aïn Defla,Cité 160 Logts Menad Hadj Kaddour N65,027 50 30 67,027 50 30 76,,1.957211,36.256265,CAW Aïn Defla,44
203,Chambre d'Agriculture de Wilaya Naâma,ZI Mecheria BP 270 45100 Mecheria Algérie.,049 78 75 33,049 58 74 08,,-0.276014,33.544059,CAW Naâma,45
204,Chambre d'Agriculture de Wilaya Ain Témouchent,Cité Akid  Othmane CASTORS Ain Témouchent ,043 79 68 00,043 79 18 52,,-1.140093,35.303438,CAW Ain Témouchent,46
205,Chambre d'Agriculture de Wilaya Ghardaia,Bp 117 sidi abaz. Ghardaia Algerie ,029 25 50 59,029 25 55 99,,3.698006,32.486291,CAW Ghardaia,47
206,Chambre d'Agriculture de Wilaya Relizane,07 Cité Feghoul  Allem,046 76 60 03,046 76 60 04,,0.546984,35.746907,CAW Relizane,48
