id,name,address,wilaya,code,lon,lat,type
1,Agence Alger,5 RUE ABANE RAMDANE ALGER,Alger,16,3.060112,36.7802473,Agence
2,Antenne Dar El Beida,STADE COMMUNALE BEN RABAH AMAR DAR EL BEIDA,Alger,16,3.2101834,36.7208633,Antenne
3,Antenne Zeralda,AADL SITE 212 LOGTS ZERALDA,Alger,16,2.8476199,36.7066326,Antenne
4,Antenne Ouled Fayet,AADL SITE 1530 LOGTS OULED FAYET,Alger,16,2.9522509,36.7424368,Antenne
5,Antenne Ain Naadja,Cité AADL Ain Naadja,Alger,16,3.0851573,36.7132822,Antenne
6,Antenne Bir Mourad Rais,3 RUE DES FRÈRES BOUADOU BIR MOURAD RAIS,Alger,16,3.059385,36.739474,Antenne
7,Antenne Ghermoul,19 RUE ABDELKADER MEBARKI GHERMOUL,Alger,16,3.1015634,36.7365445,Antenne
8,Antenne Eucalyptus,AADL SITE 416 LOGTS EUCALYPTUS,Alger,16,3.1509542,36.6637494,Antenne
9,Antenne Boumaati,AADL SITE 116 LOGTS BOUMATI,Alger,16,3.1386194,36.7161598,Antenne
10,Agence Annaba,RESIDENCE LES PLATANES B T A B P 108 PLAINE OUEST ANNABA,Annaba,23,7.7276093,36.8933287,Agence
11,Agence Adrar,BOULEVARD DE L'INDEPENDANCE N° 5 ADRAR,Adrar,1,-0.275037520593606,27.8759629719234,Agence
12,Agence Ain Defla,CITE ADMINSTRATIF BP 139,Ain Defla,44,1.9393815,36.2509429,Agence
13,Agence Ain Temouchent,HAI ZITOUNE,Ain Temouchent,46,-1.14304904123427,35.3084611327345,Agence
14,Antenne El Amria,ANNEXE APC RUE LES FRERES MAAROUF,Ain Temouchent,46,-1.01334987185742,35.5244287443866,Antenne
15,Antenne Beni Saf,NVLLE BIBLIOTHEQUE DE L'A P C,Ain Temouchent,46,-1.36585421138889,35.3080258649215,Antenne
16,Antenne Hamma Bou Hadjar,ANNEXE APC RUE KEBIR AOUED,Ain Temouchent,46,-0.976970831979708,35.3797244309463,Antenne
17,Antenne Ain Larbaa,SIEGE APC CITE DES MARTYRS,Ain Temouchent,46,-0.881863610164676,35.4070751263166,Antenne
18,Agence Béchar,"CITE 68 LOGTS , BP 69 LA BARGA, CENTRE VILLE BECHAR",Béchar,8,-2.2162443,31.6238098,Agence
19,Agence Bejaia,CITE DES 34 LOGEMENTS EPLF QUARTIER SEGHIR,Bejaia,6,5.0592183,36.7493649,Agence
20,Agence Biskra,CITÉ 20 AOUT 1955 BISKRA,Biskra,7,5.7152426,34.8570673,Agence
21,Agence Blida,AVENUE KRITLI MOKHTAR ? OUED BENI AZZA ? BLIDA,Blida,9,2.8387696,36.4849737,Agence
22,Antenne Blida Centre,PLACE LARBI BEN M'HIDI N°1 BLIDA,Blida,9,2.8323153,36.4735715,Antenne
23,Antenne Ouled Yaich - Blida,"Cité AADL Bt N° 29, Ouled Yaich",Blida,9,2.8642321,36.5046738,Antenne
24,Agence Boumerdes,BLOC N° 5 SIEGE DE LA WILAYA,Boumerdes,35,3.6217802,36.6839559,Agence
25,Agence Chlef,RUE ADJUDANT AZZOUN EX SAA,Chlef,2,1.3372823,36.1579664,Agence
26,Agence Constantine,CENTRE COMMERCIAL DAKSI A PROXIMITE DE L'ONS,Constantine,25,6.6440456,36.3560687,Agence
27,Agence El Bayadh,CITÉ CNEP  A COTÉ DE L'ECOLE MOULOUD FERRAOUN,El Bayadh,32,1.0267282,33.6759257,Agence
28,Agence El Oued,"Cité 19 Mai , BP N° 143 Belle Vue",El Oued,39,6.8516511,33.367811,Agence
29,Agence El Taref,CITÉ 168 LOGTS LABIDI RAMDANE,El Taref,36,8.2839576,36.7178584,Agence
30,Agence Ghardaia,RUE KHETTALA 15 VILLA GHARDAIA,Ghardaia,47,3.64446,32.4943741,Agence
31,Agence Guelma,RUE DE VOLONTARIAT - GUELMA,Guelma,24,7.4244659,36.4660557,Agence
32,Agence Illizi,NOUVELLE CITÉ ADMINISTRATIVE ILLIZI,Illizi,33,8.4842465,26.1690005,Agence
33,Agence Jijel,CITE 328 LOGEMENTS PROMOTIONNELS CAMP CHEVALIER,Jijel,18,5.760266,36.8081571,Agence
34,Agence Khenchela,CITE 150 LOGTS  EN FACE SIEGE DE LA WILAYA,Khenchela,40,6.9209135,35.1929114,Agence
35,Agence Laghouat,CITÉ 05 JUILLET PRÉS DE  LA CNR LAGHOUAT   BP 1651 MAAMOUARAH LAGHOUAT,Laghouat,3,2.8651575,33.8018663,Agence
36,Agence Mascara,RUE DOCTEUR KHALED N°18,Mascara,29,0.1410024,35.3979287,Agence
37,Antenne Mohammadia,Rue Draar  Mohamed Ancienne Daira,Mascara,29,0.156065,35.399245,Antenne
38,Agence Medea,QUARTIER TAKBOU,Medea,26,2.7794691,36.2631871,Agence
39,Agence Msila,RUE DOUDOU NADIR EX HOPITAL PSYCATRIQUE M'SILA,Msila,28,4.5233423,35.7186646,Agence
40,Agence Mostaganem,CENTRE D?AFFAIRES ET DE COMMERCE CITE 5 JUILLET 62 MOSTAGANEM,Mostaganem,27,0.1015492,35.9165266,Agence
41,Antenne Sidi Ali,Rue Draar  Mohamed Ancienne  Daïra,Mostaganem,27,0.0743482,35.9228875,Antenne
42,Agence Naama,CITÉ 1ER NOVEMBRE 1954 BP: N°162 RP,Naama,45,-0.3128659,33.2667317,Agence
43,Antenne Ain Sefra,SIEGE DE LA DAIRA,Naama,45,-0.3128659,33.2667317,Antenne
44,Agence Ouargla,BP  122 PLACE DU 1ER MAI OUARGLA,Ouargla,30,5.3335348,31.9527411,Agence
45,Agence Oran,"52, RUE EL BACHIR EL IBRAHIMI BP 7134 ESSIDIKIA ORAN",Oran,31,-0.6349319,35.6987388,Agence
46,Antenne Oran 3,08 Rue farh el hadj haioussama (ex: Boulanger),Oran,31,-0.647699,35.683008,Antenne
47,Agence Oum El Bouaghi,CITÉ ADMINISTRATIVE B P N° 982 OUM EL BOUAGHI,Oum El Bouaghi,4,7.1108266,35.8688789,Agence
48,Agence Relizane,CITE DIAR EL OUARD,Relizane,48,0.5550288,35.73628,Agence
49,Antenne El Matmar,Antenne EL MATMAR  SIEGE DAIRA EL MATMAR,Relizane,48,0.4628024,35.734214,Antenne
50,Antenne Ammi Moussa,ANCIEN SIEGE APC-HAI COMMANDANT SI ALI AMMI MOUSSA,Relizane,48,1.1079316,35.8721265,Antenne
51,Antenne Oued Rhiou,CENTRE CULTUREL HAI EL WIAAM EL MADANI,Relizane,48,0.7532809,35.7383405,Antenne
52,Antenne M'Hamed Benli,DAIRA  de M'Hmed Ben Ali,Relizane,48,0.8415248,36.1453403,Antenne
53,Agence Saida,EPBTP SAIDA (Entreprise dissoute),Saida,20,0.1456055,34.8415207,Agence
54,Antenne Hassasna,SIEGE DE LA DAIRA,Saida,20,0.1571345,34.8281918,Antenne
55,Antenne Ain El Hdjar,SIEGE DE LA DAIRA,Saida,20,0.1571345,34.8281918,Antenne
56,Antenne Ouled Brahim,ROUTE DE TIRCINE COMMUNE OULED BRAHIM,Saida,20,0.4845338,34.989216,Antenne
57,Agence Setif,CITE DES TOURS SETIF,Setif,19,5.4061132,36.1802604,Agence
58,Agence Sidi Bel Abbes,AVENUE ABBANE RAMDANE ? BP 325 ? SIDI BEL ABBES,Sidi Bel Abbes,22,-0.6090747,35.2164484,Agence
59,Antenne Ras El Ma,AVENUE ABBANE RAMDANE SIDI BEL ABBES,Sidi Bel Abbes,22,-0.6196667,35.192452,Antenne
60,Antenne Ben Badis,GRAND BOULEVERD ROUTE DE TLEMCEN BENBADIS,Sidi Bel Abbes,22,-0.9157679,34.9523022,Antenne
61,Antenne Ain El Berd,SIEGE DE LA DAIRA RUE MOHAMED KHEMISTI,Sidi Bel Abbes,22,-0.6317756,35.1865028,Antenne
62,Antenne Sfisef,RUE GHARBI ABDELKADER JARDIN  SFISEF,Sidi Bel Abbes,22,-0.6197361,35.1973389,Antenne
63,Agence Skikda,CITÉ BOUHADJA MERDJ EDDIB BP 485,Skikda,21,6.9217988,36.8648427,Agence
64,Agence Souk Ahras,cite 400 logements,Souk Ahras,41,7.9384033,36.2801062,Agence
65,Agence Tamanrasset,N° K 34 SERSSOUF  EN FACE MOBILIS PB 1835,Tamanrasset,11,5.5193268,22.7902972,Agence
66,Agence Tebessa,BOULEVARD HOUARI BOUMEDIANE,Tebessa,12,8.1099531,35.3997358,Agence
67,Agence Tiaret,BP 145 ROUTE DE FRIGO TIARET,Tiaret,14,1.3156647,35.3657417,Agence
68,Antenne Sougeur,ROUTE SI ABDELGHANI SOUGUEUR,Tiaret,14,1.6338006,35.2305796,Antenne
69,Agence Tipaza,ROUTE DE FOUKA  - KOLEA,Tipaza,42,2.7617196,36.6434514,Agence
70,Antenne Kolea Ouest,CITE 110 LOGEMENTS ROUTE DE BOU ISMAIL -  KOLEA,Tipaza,42,2.7551152,36.6402195,Antenne
71,Agence Tlemcen,CITE ELOUROUD BT A6 IMAMA MANSOURAH,Tlemcen,13,-1.3433085,34.8812357,Agence
72,Antenne Nedroma,RUE BOUANANI AHMED N°13 BIS,Tlemcen,13,-1.3166815,34.8828864,Antenne
73,Antenne Ghazaouet,SIEGE COMMUNE DE TIENT,Tlemcen,13,-1.8385786,35.0523638,Antenne
74,Antenne Maghnia,RUE 1ER NOVEMBRE ANCIEN SIEGE APC,Tlemcen,13,-1.3166815,34.8828864,Antenne
75,Antenne Tlemcen,BD AIN SEBAA LOTISSEMENT DIB,Tlemcen,13,-1.324623,34.8748112,Antenne
76,Agence Tindouf,HAI  EL MOSTAKBAL  TINDOUF,Tindouf,37,-8.1398003,27.6719159,Agence
77,Agence Tissemsilt,RUE NACHET ALI  ROUTE DE HAMADIA,Tissemsilt,38,1.813098,35.6053781,Agence
78,Agence Tizi Ouzou,6 BOULEVARD COLONEL AMIROUCHE  TIZI-OUZOU,Tizi Ouzou,15,4.0432967,36.7128362,Agence
79,Antenne Tizi Ouzou,"104 Logts EPLF, Bt  C1  Nouvelle Ville",Tizi Ouzou,15,4.0429879,36.6962315,Antenne
80,Agence Batna,NOUVELLE CITÉ ADMINISTRATIVE- LA VERDURE BATNA BP 278,Batna,5,6.1704259,35.5564045,Agence
81,Agence Bordj Bou Arreridj,111 LOG  PROMOTION AVENUE HOUARI BOUMEDIENNE (EN FACE 500 LGTS),Bordj Bou Arreridj,34,4.77378485462447,36.0714402950226,Agence
82,Agence Bouira,111 LOG  PROMOTION AVENUE HOUARI BOUMEDIENNE (EN FACE 500 LGTS),Bouira,10,3.88804870194637,36.3772353678907,Agence
83,Agence Mila,"CENTRE COMMERCIAL, MILA",Mila,43,6.25938634589168,36.4545351559966,Agence
84,Antenne Bab El Oued,"CITÉ 19 MARS , BP N° 143 BELLE VUE",Alger,16,3.05113202510404,36.7883587132003,Antenne
85,Agence Djelfa,ROUTE DE LAGHOUAT EX : SIEGE SAA,Djelfa,17,3.53381548244627,34.3868503215937,Agence
